name,type,x,y,width,height
AREA_Z12_E1,yard,214.399,18.622,48.601,16.622
AREA_Z12_E2,yard,214.399,35.800,48.601,17.178
AREA_Z12_D1,yard,165.000,18.622,37.501,14.222
AREA_Z12_D2,yard,165.000,32.900,37.501,14.278
AREA_Z12_C1,yard,120.800,18.622,46.199,14.222
AREA_Z12_C2,yard,120.800,32.900,46.199,14.278
AREA_Z12_B1,yard,79.899,18.622,30.601,16.622
AREA_Z12_B2,yard,79.899,32.900,30.601,14.278
AREA_Z12_A1,yard,50.000,20.800,27.199,4.3
RED1,unit,20.500,36.000,10.5,16
RED2,unit,31.000,36.000,28,8
D401,unit,9.000,36.000,11.5,15
EXIT_PA1,unit,60.000,36.000,17.199,8
PA1,yard,50.000,14.000,9.443,12
PA2,yard,59.443,14.000,8.878,12